,iter,norm
52,53,"{'number_adjacent_facts_other_value': 8, 'number_other_facts_same_value': 1, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 1, 'other_block_cons': 1, 'number_adjacent_row_facts': 1, 'number_adjacent_col_facts': 8, 'number_adjacent_block_facts': 2}"
53,54,"{'number_adjacent_facts_other_value': 7, 'number_other_facts_same_value': 1, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 1, 'other_block_cons': 1, 'number_adjacent_row_facts': 1, 'number_adjacent_col_facts': 7, 'number_adjacent_block_facts': 2}"
54,55,"{'number_adjacent_facts_other_value': 8, 'number_other_facts_same_value': 1, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 1, 'other_block_cons': 1, 'number_adjacent_row_facts': 2, 'number_adjacent_col_facts': 7, 'number_adjacent_block_facts': 1}"
55,56,"{'number_adjacent_facts_other_value': 8, 'number_other_facts_same_value': 1, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 1, 'other_block_cons': 1, 'number_adjacent_row_facts': 1, 'number_adjacent_col_facts': 8, 'number_adjacent_block_facts': 2}"
56,57,"{'number_adjacent_facts_other_value': 8, 'number_other_facts_same_value': 1, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 1, 'other_block_cons': 1, 'number_adjacent_row_facts': 1, 'number_adjacent_col_facts': 8, 'number_adjacent_block_facts': 6}"
57,58,"{'number_adjacent_facts_other_value': 1, 'number_other_facts_same_value': 3, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 2, 'other_row_cons': 1, 'other_block_cons': 2, 'number_adjacent_row_facts': 1, 'number_adjacent_col_facts': 1, 'number_adjacent_block_facts': 1}"
58,59,"{'number_adjacent_facts_other_value': 3, 'number_other_facts_same_value': 2, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 1, 'other_block_cons': 2, 'number_adjacent_row_facts': 1, 'number_adjacent_col_facts': 1, 'number_adjacent_block_facts': 3}"
59,60,"{'number_adjacent_facts_other_value': 1, 'number_other_facts_same_value': 3, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 2, 'other_block_cons': 2, 'number_adjacent_row_facts': 1, 'number_adjacent_col_facts': 1, 'number_adjacent_block_facts': 1}"
60,61,"{'number_adjacent_facts_other_value': 2, 'number_other_facts_same_value': 2, 'number_other_facts_other_value': 2, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 1, 'other_block_cons': 2, 'number_adjacent_row_facts': 2, 'number_adjacent_col_facts': 1, 'number_adjacent_block_facts': 2}"
61,62,"{'number_adjacent_facts_other_value': 5, 'number_other_facts_same_value': 2, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 1, 'other_block_cons': 1, 'number_adjacent_row_facts': 4, 'number_adjacent_col_facts': 1, 'number_adjacent_block_facts': 2}"
62,63,"{'number_adjacent_facts_other_value': 1, 'number_other_facts_same_value': 4, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 2, 'other_row_cons': 1, 'other_block_cons': 4, 'number_adjacent_row_facts': 1, 'number_adjacent_col_facts': 1, 'number_adjacent_block_facts': 1}"
63,64,"{'number_adjacent_facts_other_value': 1, 'number_other_facts_same_value': 3, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 2, 'other_block_cons': 2, 'number_adjacent_row_facts': 1, 'number_adjacent_col_facts': 1, 'number_adjacent_block_facts': 1}"
64,65,"{'number_adjacent_facts_other_value': 4, 'number_other_facts_same_value': 2, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 2, 'other_row_cons': 1, 'other_block_cons': 3, 'number_adjacent_row_facts': 1, 'number_adjacent_col_facts': 4, 'number_adjacent_block_facts': 1}"
65,66,"{'number_adjacent_facts_other_value': 2, 'number_other_facts_same_value': 4, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 3, 'other_row_cons': 1, 'other_block_cons': 2, 'number_adjacent_row_facts': 2, 'number_adjacent_col_facts': 1, 'number_adjacent_block_facts': 1}"
66,67,"{'number_adjacent_facts_other_value': 5, 'number_other_facts_same_value': 1, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 2, 'other_row_cons': 1, 'other_block_cons': 1, 'number_adjacent_row_facts': 1, 'number_adjacent_col_facts': 5, 'number_adjacent_block_facts': 2}"
67,68,"{'number_adjacent_facts_other_value': 7, 'number_other_facts_same_value': 2, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 1, 'other_block_cons': 1, 'number_adjacent_row_facts': 1, 'number_adjacent_col_facts': 7, 'number_adjacent_block_facts': 1}"
68,69,"{'number_adjacent_facts_other_value': 1, 'number_other_facts_same_value': 3, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 2, 'other_block_cons': 2, 'number_adjacent_row_facts': 1, 'number_adjacent_col_facts': 1, 'number_adjacent_block_facts': 1}"
69,70,"{'number_adjacent_facts_other_value': 8, 'number_other_facts_same_value': 1, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 1, 'other_block_cons': 1, 'number_adjacent_row_facts': 1, 'number_adjacent_col_facts': 8, 'number_adjacent_block_facts': 2}"
70,71,"{'number_adjacent_facts_other_value': 3, 'number_other_facts_same_value': 5, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 5, 'other_row_cons': 1, 'other_block_cons': 3, 'number_adjacent_row_facts': 3, 'number_adjacent_col_facts': 1, 'number_adjacent_block_facts': 1}"
71,72,"{'number_adjacent_facts_other_value': 3, 'number_other_facts_same_value': 2, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 1, 'other_block_cons': 2, 'number_adjacent_row_facts': 1, 'number_adjacent_col_facts': 1, 'number_adjacent_block_facts': 3}"
72,73,"{'number_adjacent_facts_other_value': 4, 'number_other_facts_same_value': 4, 'number_other_facts_other_value': 3, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 3, 'other_row_cons': 2, 'other_block_cons': 8, 'number_adjacent_row_facts': 4, 'number_adjacent_col_facts': 1, 'number_adjacent_block_facts': 1}"
73,74,"{'number_adjacent_facts_other_value': 3, 'number_other_facts_same_value': 2, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 1, 'other_block_cons': 2, 'number_adjacent_row_facts': 1, 'number_adjacent_col_facts': 1, 'number_adjacent_block_facts': 3}"
